Artists1,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Rnla,Free With You,Free With You,56,168038,False,0.708,0.356,3,-11.53,1,0.0501,0.907,0.0607,0.125,0.132,80.036,4,chill
thuy,i hope u see this,chances,67,167312,False,0.748,0.472,3,-9.15,0,0.0557,0.0822,0.0,0.0525,0.605,141.93,4,chill
Fiji Blue,Reasons You Should Care,Outside,65,174081,False,0.587,0.639,6,-6.883,0,0.0769,0.0924,4.53e-06,0.269,0.258,94.927,4,chill
IWL,Cup of Coffee,Cup of Coffee,54,109241,False,0.672,0.285,1,-7.031,1,0.0474,0.241,0.905,0.25,0.454,145.0,4,chill
SVMP,where do we go when we fall in love,where do we go when we fall in love,56,101100,False,0.561,0.364,7,-11.111,1,0.0286,0.812,8.94e-06,0.268,0.233,137.911,4,chill
boy in skirt,Sad Boy in Skirt,Losing Interest - Slowed Version,65,116920,False,0.796,0.0617,7,-22.034,0,0.0754,0.768,0.895,0.111,0.166,96.44,4,chill
Skinny Atlas,you never meant it,you never meant it,67,117692,True,0.792,0.551,7,-5.769,1,0.037,0.307,0.0,0.101,0.45,103.967,4,chill
untrusted,"eyes blue or brown, can't remember","eyes blue or brown, can't remember",66,180833,False,0.751,0.354,10,-14.518,1,0.446,0.885,0.179,0.206,0.781,143.87,4,chill
fenekot,Heat Waves,Heat Waves (Slowed + Reverb),54,116781,False,0.677,0.649,6,-9.824,0,0.0792,0.907,0.368,0.682,0.139,140.649,4,chill
MASN,How To Kill A Rockstar,Hate Me!,69,154756,True,0.683,0.628,6,-6.512,1,0.123,0.659,0.0,0.106,0.356,142.06,4,chill
fenekot,Slowed + Reverb,Let Me Down Slowly (Slowed + Reverb),58,104000,False,0.757,0.407,11,-15.194,0,0.0835,0.954,0.849,0.107,0.298,136.879,4,chill
Verzache,The Loser,The Loser,72,131586,False,0.748,0.297,1,-10.613,1,0.132,0.485,0.27,0.138,0.114,123.983,4,chill
Fiji Blue,Affection,Affection,63,174211,False,0.827,0.49,10,-8.37,0,0.055,0.321,0.000137,0.095,0.836,113.002,4,chill
ODESZA,The Last Goodbye (feat. Bettye LaVette),The Last Goodbye (feat. Bettye LaVette),72,358983,False,0.667,0.92,9,-2.71,1,0.0773,0.00752,0.00232,0.126,0.146,114.977,4,chill
itssvd,Safe,Safe,67,78214,False,0.608,0.461,11,-13.083,0,0.146,0.828,0.00104,0.107,0.512,114.886,4,chill
keshi,skeletons,skeletons,69,152480,True,0.719,0.265,2,-12.782,1,0.0754,0.296,0.0865,0.108,0.273,80.021,4,chill
demxntia,it kills me,it kills me,65,155428,True,0.534,0.449,11,-10.688,0,0.0422,0.44,0.0,0.0934,0.24,105.075,4,chill
Monty Datta,Can't Love Myself,Can't Love Myself,68,122723,False,0.541,0.0836,1,-12.663,1,0.313,0.913,0.00199,0.126,0.452,181.032,4,chill
brb.,my type,my type,68,132000,False,0.69,0.578,0,-8.7,1,0.0656,0.167,0.000244,0.134,0.788,89.998,4,chill
Monty Datta,Say Goodbye,Say Goodbye,64,150415,False,0.706,0.297,3,-13.652,1,0.132,0.468,0.0,0.0725,0.123,104.049,4,chill
Beowülf,savior,savior,63,110943,False,0.832,0.181,11,-20.989,1,0.0603,0.835,0.0304,0.117,0.213,106.032,4,chill
dhruv,rapunzel,grateful,55,241458,True,0.507,0.516,6,-9.67,1,0.106,0.457,0.0284,0.128,0.486,83.951,4,chill
Yusei,We could have been so good together,We could have been so good together,62,298864,False,0.659,0.353,1,-15.69,0,0.723,0.984,0.807,0.394,0.438,144.03,4,chill
KAYDEN,But You Love It,But You Love It,49,188031,False,0.757,0.437,4,-6.165,1,0.0381,0.796,6.34e-06,0.397,0.52,126.961,4,chill
keshi,GABRIEL,ANGOSTURA,67,171019,True,0.536,0.659,6,-9.732,1,0.0483,0.406,0.004,0.107,0.199,170.035,4,chill
yaeow,I Need U (Remix),I Need U (Remix),51,171205,False,0.501,0.315,4,-12.914,1,0.0508,0.872,0.81,0.219,0.216,84.859,4,chill
Kochetkovv,4:44 AM,4:44 AM,67,121965,False,0.809,0.282,0,-10.038,1,0.433,0.975,0.00176,0.202,0.778,129.89,4,chill
